iter	Passed	Remaining
0	161	161494
1	190	94877
2	215	71580
3	240	59792
4	265	52877
5	290	48045
6	343	48664
7	391	48506
8	422	46488
9	447	44304
10	490	44121
11	602	49640
12	661	50190
13	689	48584
14	715	46955
15	740	45534
16	774	44809
17	831	45374
18	912	47105
19	946	46401
20	977	45559
21	1001	44499
22	1051	44685
23	1096	44590
24	1140	44487
25	1165	43671
26	1191	42939
27	1215	42199
28	1238	41481
29	1265	40904
30	1303	40736
31	1378	41706
32	1439	42191
33	1501	42646
34	1529	42172
35	1554	41630
36	1579	41107
37	1601	40553
38	1625	40051
39	1650	39613
40	1715	40133
41	1762	40199
42	1874	41719
43	1928	41893
44	1954	41470
45	1979	41051
46	2010	40770
47	2080	41270
48	2110	40956
49	2143	40732
50	2190	40768
51	2229	40637
52	2253	40269
53	2313	40529
54	2415	41508
55	2458	41448
56	2482	41067
57	2508	40733
58	2543	40565
59	2630	41217
60	2706	41660
61	2731	41320
62	2755	40983
63	2780	40660
64	2829	40708
65	2952	41786
66	2986	41588
67	3009	41250
68	3036	40970
69	3061	40668
70	3084	40361
71	3109	40083
72	3176	40340
73	3239	40536
74	3263	40255
75	3288	39979
76	3316	39752
77	3418	40412
78	3468	40441
79	3498	40232
80	3522	39960
81	3547	39715
82	3572	39474
83	3597	39225
84	3628	39060
85	3705	39383
86	3767	39539
87	3808	39473
88	3901	39931
89	3979	40234
90	4004	40002
91	4034	39814
92	4061	39612
93	4088	39402
94	4138	39426
95	4207	39621
96	4242	39496
97	4265	39260
98	4289	39042
99	4332	38988
100	4408	39239
101	4484	39483
102	4511	39287
103	4536	39084
104	4559	38866
105	4590	38712
106	4679	39052
107	4732	39087
108	4756	38877
109	4792	38778
110	4830	38691
111	4873	38643
112	4906	38516
113	4932	38336
114	4965	38216
115	4996	38077
116	5024	37921
117	5058	37807
118	5084	37645
119	5111	37485
120	5146	37390
121	5176	37256
122	5201	37085
123	5232	36967
124	5302	37117
125	5432	37684
126	5497	37790
127	5563	37898
128	5610	37883
129	5680	38013
130	5730	38012
131	5806	38183
132	5850	38140
133	5889	38061
134	5923	37956
135	5951	37810
136	5977	37655
137	6003	37499
138	6030	37352
139	6056	37201
140	6085	37076
141	6111	36928
142	6140	36801
143	6183	36758
144	6208	36606
145	6234	36468
146	6262	36338
147	6302	36284
148	6407	36598
149	6462	36622
150	6491	36497
151	6517	36358
152	6544	36227
153	6568	36081
154	6592	35941
155	6619	35811
156	6646	35686
157	6671	35551
158	6701	35443
159	6784	35621
160	6856	35732
161	6882	35601
162	6908	35475
163	6932	35341
164	6963	35239
165	7035	35347
166	7104	35437
167	7135	35339
168	7166	35238
169	7191	35113
170	7217	34989
171	7241	34861
172	7265	34731
173	7298	34646
174	7362	34709
175	7396	34627
176	7408	34448
177	7434	34332
178	7459	34214
179	7496	34150
180	7587	34332
181	7616	34231
182	7642	34119
183	7668	34007
184	7700	33924
185	7774	34024
186	7882	34270
187	7918	34202
188	7941	34077
189	7967	33968
190	8033	34025
191	8067	33949
192	8098	33864
193	8123	33750
194	8148	33639
195	8194	33613
196	8281	33758
197	8342	33793
198	8367	33678
199	8393	33573
200	8416	33457
201	8440	33344
202	8466	33240
203	8517	33235
204	8587	33300
205	8649	33337
206	8674	33232
207	8698	33122
208	8723	33014
209	8750	32917
210	8848	33089
211	8894	33059
212	8919	32957
213	8944	32851
214	8996	32846
215	9083	32970
216	9110	32874
217	9134	32767
218	9171	32707
219	9247	32788
220	9315	32835
221	9353	32777
222	9379	32682
223	9405	32584
224	9443	32528
225	9545	32691
226	9574	32603
227	9600	32507
228	9626	32411
229	9678	32402
230	9778	32552
231	9822	32516
232	9848	32420
233	9873	32322
234	9913	32271
235	9997	32364
236	10070	32422
237	10095	32322
238	10119	32223
239	10145	32127
240	10170	32029
241	10194	31931
242	10250	31933
243	10322	31981
244	10355	31912
245	10384	31830
246	10411	31739
247	10437	31648
248	10461	31552
249	10485	31455
250	10514	31374
251	10572	31380
252	10659	31471
253	10686	31385
254	10711	31295
255	10735	31198
256	10758	31103
257	10784	31017
258	10808	30924
259	10832	30830
260	10856	30738
261	10912	30737
262	10978	30763
263	11017	30715
264	11040	30622
265	11064	30531
266	11087	30438
267	11112	30351
268	11136	30262
269	11161	30176
270	11220	30183
271	11302	30249
272	11345	30213
273	11369	30125
274	11395	30041
275	11423	29966
276	11466	29929
277	11523	29927
278	11559	29873
279	11585	29791
280	11611	29710
281	11636	29627
282	11661	29544
283	11685	29461
284	11715	29392
285	11772	29389
286	11846	29430
287	11927	29486
288	11958	29421
289	11987	29349
290	12013	29271
291	12039	29190
292	12063	29109
293	12089	29032
294	12119	28962
295	12155	28911
296	12182	28835
297	12206	28755
298	12232	28678
299	12256	28599
300	12308	28583
301	12342	28527
302	12369	28453
303	12393	28374
304	12419	28301
305	12447	28231
306	12472	28154
307	12500	28085
308	12525	28011
309	12550	27935
310	12631	27984
311	12681	27965
312	12705	27887
313	12730	27811
314	12760	27749
315	12814	27737
316	12902	27799
317	12936	27745
318	12960	27667
319	12984	27591
320	13007	27515
321	13031	27439
322	13060	27374
323	13127	27389
324	13198	27413
325	13223	27338
326	13246	27263
327	13277	27203
328	13336	27200
329	13410	27226
330	13449	27182
331	13476	27114
332	13499	27038
333	13525	26969
334	13550	26898
335	13579	26835
336	13658	26870
337	13703	26838
338	13732	26776
339	13756	26704
340	13787	26644
341	13832	26613
342	13915	26654
343	13987	26673
344	14011	26601
345	14034	26528
346	14062	26463
347	14132	26478
348	14208	26503
349	14240	26446
350	14267	26381
351	14342	26404
352	14421	26432
353	14452	26374
354	14476	26303
355	14501	26232
356	14524	26161
357	14560	26111
358	14616	26097
359	14674	26087
360	14709	26037
361	14734	25968
362	14796	25965
363	14868	25978
364	14930	25974
365	14955	25905
366	14981	25839
367	15006	25772
368	15030	25702
369	15057	25638
370	15137	25663
371	15200	25660
372	15224	25592
373	15248	25522
374	15276	25460
375	15344	25465
376	15415	25473
377	15446	25417
378	15471	25351
379	15496	25284
380	15521	25216
381	15586	25216
382	15644	25203
383	15669	25135
384	15692	25067
385	15717	25001
386	15757	24960
387	15806	24931
388	15834	24871
389	15862	24809
390	15887	24745
391	15911	24678
392	15935	24612
393	15964	24554
394	15993	24496
395	16019	24433
396	16047	24373
397	16076	24317
398	16104	24258
399	16133	24200
400	16160	24140
401	16185	24077
402	16210	24014
403	16235	23951
404	16261	23890
405	16286	23828
406	16312	23766
407	16338	23706
408	16366	23649
409	16393	23590
410	16423	23536
411	16450	23478
412	16482	23426
413	16508	23367
414	16533	23305
415	16561	23250
416	16589	23193
417	16622	23144
418	16648	23084
419	16686	23042
420	16716	22990
421	16747	22938
422	16778	22886
423	16801	22825
424	16826	22765
425	16852	22706
426	16880	22651
427	16906	22595
428	16933	22539
429	16961	22484
430	16988	22427
431	17020	22378
432	17044	22318
433	17068	22259
434	17093	22202
435	17122	22149
436	17145	22089
437	17170	22031
438	17204	21986
439	17282	21996
440	17395	22049
441	17421	21993
442	17445	21935
443	17469	21875
444	17492	21816
445	17516	21757
446	17544	21704
447	17601	21687
448	17629	21634
449	17653	21576
450	17677	21518
451	17711	21473
452	17801	21495
453	17871	21493
454	17899	21440
455	17923	21382
456	17950	21328
457	17998	21299
458	18062	21289
459	18111	21260
460	18134	21202
461	18157	21144
462	18182	21088
463	18230	21059
464	18302	21057
465	18370	21050
466	18396	20996
467	18422	20941
468	18486	20930
469	18558	20927
470	18586	20875
471	18610	20818
472	18636	20764
473	18699	20751
474	18802	20782
475	18845	20746
476	18870	20690
477	18893	20632
478	18917	20575
479	18965	20545
480	18992	20493
481	19017	20437
482	19053	20394
483	19134	20399
484	19178	20365
485	19202	20309
486	19227	20253
487	19257	20204
488	19307	20176
489	19396	20187
490	19454	20168
