iter	RMSE	R2
0	931.6899163	-1.091371983
1	908.6901084	-0.9893907602
2	887.1193618	-0.8960623367
3	866.7886942	-0.8101516961
4	846.423194	-0.7260906761
5	828.2761919	-0.6528705882
6	809.4654378	-0.5786473169
7	791.1841131	-0.5081467815
8	772.6937723	-0.4384783153
9	755.6711509	-0.3757964379
10	738.9797308	-0.3156899232
11	722.8044365	-0.2587228455
12	707.5133262	-0.2060289811
13	693.0613821	-0.1572625416
14	678.0824353	-0.1077799107
15	663.9843192	-0.06219472823
16	649.7660506	-0.01719104493
17	637.4200406	0.02109640646
18	625.6022399	0.05705777151
19	612.7966817	0.09526517934
20	601.3142546	0.1288529026
21	589.0801206	0.1639404163
22	577.8206651	0.1955952338
23	567.382237	0.2243961325
24	557.7979234	0.2503780727
25	547.9755167	0.2765461949
26	538.6392316	0.3009882769
27	528.9106295	0.3260105698
28	519.6041942	0.3495202346
29	510.2909802	0.3726292316
30	501.826494	0.3932697225
31	493.7253733	0.4127008272
32	485.4156635	0.4323036948
33	477.7685569	0.4500494708
34	469.673814	0.4685270197
35	462.6085583	0.4843965418
36	456.0753853	0.4988568911
37	449.6657169	0.5128440056
38	443.3003332	0.526538564
39	436.9938171	0.5399139345
40	431.0294516	0.5523873133
41	425.4755259	0.5638482063
42	419.601264	0.5758083934
43	414.6119079	0.5858362944
44	409.6660747	0.5956583335
45	404.6836145	0.6054339301
46	400.4654508	0.6136164716
47	395.9026327	0.6223710552
48	391.423241	0.6308679856
49	386.7362625	0.6396551769
50	382.3103828	0.6478556855
51	378.4942066	0.6548507228
52	374.9916499	0.6612091363
53	371.4751394	0.6675334137
54	368.2452591	0.6732897017
55	364.4886536	0.6799214858
56	361.5688951	0.6850289635
57	357.7576949	0.6916340175
58	354.7612563	0.6967778912
59	351.7534986	0.7018976862
60	348.7832826	0.7069107991
61	345.9963078	0.711575981
62	343.6980941	0.7153948574
63	341.1792432	0.7195511274
64	338.8561042	0.7233573587
65	336.1339808	0.7277841973
66	333.5879003	0.7318924308
67	331.0894765	0.7358934027
68	328.8013174	0.7395312695
69	326.640248	0.7429439151
70	324.9098768	0.7456602018
71	322.6864958	0.7491292216
72	321.1520409	0.7515094553
73	319.3541207	0.7542839393
74	317.5823599	0.7570028173
75	315.8259712	0.7596831758
76	314.0440761	0.7623872686
77	312.3274654	0.7649778206
78	310.7621629	0.7673276553
79	309.381584	0.7693903838
80	307.178711	0.7726626868
81	305.3783454	0.7753197126
82	304.2644558	0.7769557985
83	302.6152666	0.7793671559
84	301.2219152	0.7813942271
85	299.3608377	0.7840871618
86	298.5922798	0.7851943774
87	297.199721	0.7871933034
88	296.1648456	0.7886727462
89	295.1371831	0.7901367707
90	294.0054384	0.7917431844
91	292.7311039	0.7935446049
92	291.6152959	0.7951155042
93	290.69498	0.7964066635
94	289.8395265	0.7976031642
95	289.4789957	0.7981063731
96	288.6746889	0.7992267226
97	287.8075175	0.8004311464
98	286.7920557	0.8018369265
99	285.6929619	0.8033528853
100	284.8278879	0.8045419714
101	284.1746736	0.8054374565
102	283.59609	0.8062289141
103	281.9636674	0.808453246
104	281.0810473	0.8096505521
105	279.9723205	0.8111492607
106	279.0262232	0.812423453
107	277.8051518	0.8140616015
108	276.9646911	0.8151849609
109	275.4647285	0.8171813525
110	274.8813135	0.8179549267
111	274.0883486	0.8190037221
112	273.3760518	0.8199432407
113	272.6660434	0.8208773078
114	271.7978917	0.822016123
115	271.2187253	0.8227738363
116	270.4265263	0.8238076393
117	269.6933043	0.8247617837
118	268.4122064	0.8264226637
119	267.7663754	0.8272569532
120	266.4786269	0.8289144779
121	265.3076888	0.8304147141
122	264.9128186	0.8309191423
123	264.3882063	0.8315881478
124	263.592636	0.8326001587
125	262.8943295	0.8334859313
126	262.3391368	0.8341884932
127	261.7727505	0.8349036895
128	261.2866566	0.8355162651
129	260.793358	0.8361367561
130	260.3229582	0.8367273517
131	259.8061428	0.8373749939
132	259.2267836	0.8380994821
133	258.8528372	0.8385662429
134	258.4250349	0.8390994003
135	257.970316	0.8396651363
136	257.6138533	0.8401079308
137	257.3702783	0.8404101451
138	256.9418766	0.8409409886
139	256.6133661	0.8413474553
140	255.4247391	0.8428138009
141	254.9830233	0.8433569871
142	254.4683357	0.8439887221
143	254.1689904	0.8443555557
144	253.8052335	0.8448007416
145	253.1394044	0.8456139687
146	252.7181243	0.8461274062
147	252.1523232	0.8468156341
148	251.0755209	0.8481211709
149	250.6738763	0.8486067023
150	250.2701981	0.8490939087
151	249.8322673	0.8496215673
152	249.5080313	0.8500116407
153	249.2838576	0.8502810375
154	248.8584178	0.8507916366
155	247.9960541	0.8518239419
156	247.6491379	0.8522382124
157	247.334625	0.8526132873
158	246.9824671	0.8530326903
159	246.6161842	0.8534682815
160	246.1199569	0.854057374
161	245.9753565	0.8542288121
162	245.6870628	0.8545703121
163	245.2299128	0.8551110107
164	244.8141377	0.8556018984
165	244.579457	0.8558786079
166	244.3177382	0.8561868848
167	243.7546082	0.8568490728
168	242.8203774	0.8579442703
169	242.6573285	0.8581349813
170	242.2780653	0.8585780929
171	241.9894408	0.8589148424
172	241.8146089	0.8591186305
173	241.6121132	0.85935448
174	241.2333737	0.8597950726
175	241.0530725	0.8600045767
176	240.9897958	0.8600780648
177	240.8035909	0.8602942074
178	240.3114292	0.8608646938
179	240.0411119	0.8611775339
180	239.8204277	0.8614326722
181	239.55922	0.8617343574
182	239.3443995	0.8619822209
183	239.1595757	0.8621952956
184	238.8855196	0.862510939
185	238.0832544	0.8634328658
186	237.8538891	0.8636958718
187	237.734845	0.8638322761
188	237.514305	0.8640847969
189	236.7713942	0.8649337138
190	236.5156693	0.865225313
191	236.3906742	0.8653677283
192	236.1297115	0.8656648179
193	235.7733466	0.8660699869
194	235.5645045	0.8663071455
195	235.2461399	0.8666682721
196	234.9652004	0.8669865411
197	234.7158596	0.8672686943
198	234.3252824	0.8677100678
199	233.5498233	0.8685842005
200	233.2990641	0.8688662476
201	232.9913068	0.8692119906
202	232.7731139	0.8694568379
203	232.5518667	0.8697048784
204	232.3737174	0.8699044305
205	232.1280704	0.8701793384
206	231.9199491	0.8704120232
207	231.7351843	0.8706184199
208	231.4622059	0.870923057
209	231.3708477	0.8710249304
210	231.1381593	0.871284219
211	230.9488829	0.8714949404
212	230.874391	0.8715778249
213	230.560364	0.8719269378
214	230.296262	0.8722201797
215	230.0353019	0.8725096028
216	229.7829147	0.872789206
217	229.4243923	0.8731858616
218	229.1680413	0.8734690988
219	229.0065872	0.8736473238
220	228.3437423	0.8743777047
221	228.25577	0.8744744812
222	227.6102749	0.8751834362
223	227.4190168	0.8753931118
224	227.2267307	0.8756037366
225	226.4809983	0.8764189056
226	226.3737329	0.8765359383
227	226.1552342	0.8767741613
228	225.8655874	0.8770896005
229	225.6863124	0.877284637
230	225.5577293	0.8774244295
231	225.3195487	0.8776831634
232	225.171256	0.8778441145
233	224.5992724	0.8784639309
234	224.3486323	0.8787350344
235	224.1714179	0.8789265346
236	223.9987426	0.8791129843
237	223.7055114	0.8794292775
238	223.6050365	0.8795375593
239	223.5488858	0.8795980517
240	223.4034586	0.879754653
241	223.1989028	0.8799747536
242	223.0285139	0.880157937
243	222.5426436	0.880679523
244	222.3445169	0.8808918872
245	222.1033883	0.8811500882
246	221.9148403	0.8813517908
247	221.78414	0.8814915091
248	221.552747	0.8817386659
249	221.3903103	0.8819120146
250	221.3146353	0.8819927298
251	221.1569357	0.882160844
252	221.0192743	0.8823074987
253	220.9084753	0.8824254698
254	220.815803	0.8825240955
255	220.6981038	0.882649296
256	220.5614666	0.882794558
257	220.2501272	0.8831252133
258	220.16097	0.8832198159
259	220.0929097	0.8832920074
260	219.5652228	0.8838509663
261	219.3092854	0.884121588
262	219.1853847	0.884252484
263	219.0223538	0.8844246069
264	218.8240284	0.8846338198
265	218.6875284	0.8847777033
266	218.5623341	0.8849095905
267	218.4903744	0.884985363
268	218.3699851	0.8851120753
269	218.2427257	0.8852459427
270	217.7042715	0.8858114926
271	217.3067717	0.8862280988
272	217.1979334	0.8863420358
273	217.1146168	0.8864292169
274	216.943896	0.8866077519
275	216.7507017	0.8868096195
276	216.4991584	0.8870721862
277	216.3361203	0.8872422064
278	216.0688723	0.887520622
279	215.9115844	0.8876843217
280	215.7926146	0.8878080621
281	215.6375193	0.8879692742
282	215.514629	0.8880969289
283	215.3792844	0.8882374365
284	215.2738096	0.8883468736
285	215.2086038	0.8884145021
286	214.954262	0.8886780983
287	214.8235275	0.8888134684
288	214.7012388	0.8889400187
289	214.6270848	0.8890167218
290	214.4849937	0.8891636232
291	214.276858	0.8893786295
292	213.8883687	0.8897793845
293	213.2387687	0.8904478695
294	213.1117659	0.8905783269
295	212.9423834	0.8907521958
296	212.8630688	0.8908335636
297	212.6313834	0.8910710732
298	212.4242461	0.8912831985
299	212.2836026	0.891427111
300	212.1844965	0.8915284633
301	211.8344507	0.8918860643
302	211.5869904	0.8921385094
303	211.4522141	0.8922758764
304	211.2672988	0.8924642038
305	211.0518608	0.8926834094
306	210.9256355	0.8928117383
307	210.7376056	0.8930027593
308	210.4275033	0.8933174224
309	210.295116	0.8934516157
310	210.2181789	0.8935295635
311	210.0002024	0.8937502487
312	209.7478409	0.8940054603
313	209.6036806	0.8941511109
314	209.3329686	0.894424351
315	209.241672	0.8945164205
316	209.0495014	0.8947100868
317	208.9831663	0.8947768969
318	208.8363528	0.8949246862
319	208.6710538	0.8950909598
320	208.5442555	0.8952184162
321	208.3550647	0.8954084452
322	208.1156801	0.8956486431
323	207.959323	0.8958053823
324	207.7195256	0.8960455369
325	207.5348002	0.8962303486
326	207.4268138	0.8963383092
327	207.327955	0.8964370951
328	207.1330675	0.8966317011
329	206.9887691	0.8967756731
330	206.8436359	0.8969203769
331	206.6116273	0.8971514882
332	206.3925008	0.897369529
333	206.3058215	0.897455715
334	206.2261407	0.8975349103
335	206.1112627	0.8976490346
336	205.9782445	0.8977811007
337	205.8773085	0.8978812572
338	205.7681851	0.8979894828
339	205.6642698	0.8980924897
340	205.5899931	0.8981660852
341	205.3935369	0.8983606117
342	204.7526189	0.8989939411
343	204.7119282	0.8990340831
344	204.5961464	0.8991482603
345	204.3446247	0.8993960735
346	204.2193284	0.8995194086
347	203.8416094	0.8998907576
348	203.7764951	0.8999547044
349	203.6139225	0.9001142726
350	203.4972675	0.9002286935
351	203.4321026	0.9002925817
352	203.3230354	0.9003994664
353	203.1910935	0.9005286916
354	203.0363031	0.9006801878
355	202.8402133	0.9008719387
356	202.6814482	0.901027055
357	202.6226408	0.9010844801
358	202.4982452	0.9012058967
359	202.3636972	0.9013371387
360	202.2819228	0.9014168612
361	202.1571737	0.9015384179
362	201.6588515	0.9020232398
363	201.5250097	0.9021532518
364	201.1693748	0.902498291
365	201.0505927	0.9026133984
366	200.941889	0.9027186796
367	200.8141109	0.9028423618
368	200.7088333	0.9029442057
369	200.6262224	0.9030240847
370	200.5630999	0.9030850977
371	200.4126805	0.9032304126
372	200.2732486	0.9033650157
373	200.160468	0.9034738219
374	200.1125688	0.9035200146
375	200.0142281	0.903614817
376	199.8905097	0.9037340178
377	199.7523985	0.9038669988
378	199.5984515	0.904015119
379	199.1010618	0.9044929023
380	198.9752572	0.904613559
381	198.8317741	0.9047510776
382	198.7914609	0.9047896972
383	198.7123704	0.9048654423
384	198.6532542	0.9049220382
385	198.4846716	0.9050833413
386	198.3553153	0.905207019
387	198.0551487	0.9054936981
388	198.0090374	0.9055376989
389	197.8967144	0.9056448383
390	197.767289	0.9057682154
391	197.6496827	0.9058802557
392	197.6067606	0.9059211298
