iter	RMSE	R2
0	936.4311388	-1.086941488
1	914.5338814	-0.9904816535
2	893.926322	-0.9017876831
3	873.3327285	-0.8151731178
4	853.5258709	-0.7337718938
5	833.7491264	-0.6543574948
6	814.8259526	-0.5801135075
7	797.2680105	-0.5127503331
8	778.8445691	-0.4436442033
9	762.13425	-0.3823612066
10	744.4977357	-0.3191231497
11	729.0663276	-0.2650062191
12	714.7770925	-0.2159055217
13	700.2753002	-0.1670680941
14	685.2208366	-0.1174283901
15	671.5805037	-0.07338306565
16	657.2113672	-0.02794223992
17	642.8988071	0.01634269995
18	630.5085894	0.05389226258
19	617.8977133	0.09136020057
20	605.1197495	0.128552488
21	593.5697712	0.1615018081
22	582.1519335	0.1934500512
23	571.1649467	0.2236068912
24	560.1266494	0.2533259621
25	550.0549788	0.279936529
26	539.9699921	0.3060984939
27	530.1017769	0.3312295128
28	521.0643498	0.3538381688
29	511.849621	0.3764901027
30	503.4445737	0.3967992012
31	495.4944732	0.415699566
32	487.8942544	0.4334868606
33	479.8752147	0.4519562639
34	472.6505124	0.4683340521
35	465.3961556	0.4845290887
36	458.8990668	0.4988209269
37	452.3427516	0.51303937
38	445.9610691	0.5266825944
39	439.5522911	0.5401886621
40	433.7626822	0.5522217951
41	428.2825218	0.5634647868
42	423.5471797	0.5730645985
43	418.4135422	0.5833512875
44	413.7679265	0.592551967
45	408.5994254	0.6026675066
46	403.7860424	0.61197368
47	398.9529799	0.6212069464
48	394.8395857	0.6289777503
49	390.1555583	0.6377284941
50	385.8023106	0.6457676435
51	382.0846939	0.6525615648
52	378.1629327	0.6596572575
53	374.5912996	0.666055764
54	370.8502312	0.6726927029
55	367.1853258	0.6791299271
56	363.9146185	0.6848207754
57	360.6979233	0.6903679819
58	357.2621567	0.6962385826
59	354.3541862	0.7011634493
60	351.5847184	0.705816331
61	348.7344919	0.7105667728
62	345.8528561	0.7153302549
63	343.0197615	0.7199749646
64	340.6605189	0.7238136652
65	338.1715356	0.7278347469
66	335.6402483	0.7318939298
67	333.1316455	0.7358866466
68	330.9049714	0.7394055493
69	328.7942705	0.7427193871
70	326.9650724	0.7455741092
71	325.443055	0.7479372933
72	323.645817	0.7507136055
73	321.5564245	0.7539219019
74	319.4047962	0.7572040457
75	317.8439206	0.7595712504
76	316.1227094	0.7621681739
77	314.57991	0.7644839291
78	312.9013067	0.7669906582
79	311.4726744	0.7691135304
80	309.861082	0.771496611
81	308.0566973	0.7741501068
82	306.6470223	0.7762123668
83	305.3784565	0.7780601077
84	303.9783985	0.780090483
85	302.7441865	0.7818726094
86	301.4381216	0.783750591
87	300.3384959	0.7853254394
88	298.8442284	0.7874562568
89	297.8985822	0.788799252
90	296.4412635	0.7908605841
91	295.2205042	0.7925795296
92	294.1699144	0.7940531812
93	293.1079881	0.7955373955
94	291.7695318	0.7974004592
95	290.4689063	0.7992026955
96	289.4104337	0.8006634454
97	288.3097203	0.8021768336
98	287.1561398	0.8037567207
99	285.887752	0.8054865311
100	285.1276175	0.8065195228
101	284.0319038	0.8080037134
102	283.2006788	0.809125831
103	282.3015077	0.8103359698
104	281.4466985	0.8114828364
105	280.5233328	0.8127177753
106	278.9517751	0.8148102956
107	278.3956748	0.8155479242
108	277.3857272	0.8168837858
109	276.4963028	0.8180562102
110	276.0584114	0.8186320483
111	275.3199696	0.81960105
112	274.652464	0.8204747341
113	273.558864	0.8219015407
