iter	Passed	Remaining
0	49	49259
1	99	49895
2	136	45441
3	180	44941
4	208	41589
5	233	38680
6	256	36346
7	297	36876
8	378	41659
9	440	43577
10	465	41866
11	488	40198
12	509	38719
13	536	37806
14	598	39300
15	680	41851
16	708	40982
17	731	39886
18	752	38854
19	776	38025
20	809	37742
21	879	39099
22	949	40340
23	973	39585
24	996	38852
25	1026	38461
26	1064	38368
27	1102	38273
28	1181	39569
29	1256	40642
30	1279	39993
31	1303	39438
32	1327	38911
33	1368	38871
34	1437	39623
35	1462	39170
36	1485	38660
37	1509	38209
38	1533	37781
39	1590	38161
40	1689	39522
41	1747	39857
42	1776	39534
43	1801	39133
44	1829	38833
45	1915	39721
46	1949	39529
47	1973	39134
48	1995	38734
49	2019	38375
50	2057	38282
51	2139	39002
52	2208	39462
53	2234	39139
54	2257	38782
55	2281	38460
56	2305	38145
57	2331	37868
58	2392	38152
59	2478	38827
60	2539	39094
61	2567	38837
62	2590	38530
63	2614	38241
64	2638	37946
65	2693	38112
66	2804	39057
67	2849	39049
68	2872	38761
69	2900	38530
70	2923	38256
71	2953	38069
72	3044	38664
73	3089	38665
74	3113	38403
75	3138	38162
76	3195	38305
77	3286	38854
78	3315	38654
79	3340	38410
80	3363	38165
81	3389	37942
82	3412	37698
83	3436	37476
84	3468	37338
85	3544	37672
86	3592	37697
87	3616	37479
88	3637	37231
89	3665	37058
90	3728	37239
91	3807	37582
92	3837	37424
93	3861	37219
94	3885	37012
95	3909	36812
96	3959	36860
97	4077	37526
98	4129	37579
99	4154	37388
100	4176	37172
101	4199	36974
102	4222	36770
103	4244	36569
104	4267	36379
105	4290	36181
106	4329	36131
107	4403	36368
108	4444	36332
109	4471	36181
110	4494	35993
111	4520	35840
112	4585	35995
113	4677	36352
114	4742	36496
115	4764	36308
116	4785	36119
117	4813	35975
118	4875	36094
119	4909	36003
120	4932	35828
121	4955	35665
122	4979	35506
123	5011	35400
124	5032	35229
125	5057	35082
126	5080	34921
127	5115	34850
128	5179	34969
129	5243	35093
130	5267	34939
131	5289	34785
132	5312	34629
133	5346	34552
134	5391	34544
135	5418	34421
136	5443	34288
137	5466	34146
138	5502	34086
139	5582	34291
140	5644	34386
141	5680	34320
142	5705	34190
143	5731	34072
144	5756	33941
145	5814	34009
146	5886	34160
147	5914	34049
148	5939	33923
149	6001	34009
150	6080	34189
151	6111	34095
152	6136	33969
153	6176	33933
154	6270	34184
155	6299	34079
156	6322	33947
157	6346	33820
158	6370	33693
159	6392	33560
160	6419	33455
161	6509	33672
162	6575	33766
163	6598	33634
164	6647	33642
165	6692	33624
166	6717	33505
167	6740	33382
168	6782	33350
169	6872	33555
170	6905	33477
171	6927	33348
172	6948	33217
173	6971	33093
174	7014	33069
175	7053	33024
176	7102	33023
177	7189	33202
178	7229	33157
179	7252	33038
180	7279	32938
181	7357	33069
182	7414	33102
183	7440	32998
184	7464	32886
185	7486	32764
186	7508	32643
187	7533	32538
188	7556	32423
189	7583	32327
190	7677	32519
191	7738	32565
192	7767	32478
193	7799	32404
194	7831	32328
195	7855	32224
196	7878	32115
197	7906	32023
198	7976	32107
199	8008	32033
200	8032	31928
201	8053	31813
202	8085	31744
203	8178	31912
204	8215	31859
205	8239	31757
206	8263	31656
207	8285	31548
208	8310	31454
209	8348	31404
210	8380	31337
211	8403	31234
212	8440	31187
213	8537	31358
214	8580	31328
215	8605	31235
216	8642	31183
217	8736	31338
218	8779	31309
219	8803	31210
220	8826	31112
221	8848	31008
222	8872	30914
223	8913	30878
224	9018	31064
225	9056	31015
226	9078	30914
227	9104	30828
228	9157	30831
229	9248	30963
230	9273	30873
231	9296	30773
232	9322	30687
233	9346	30595
234	9369	30499
235	9391	30402
236	9424	30340
237	9504	30431
238	9559	30437
239	9581	30342
240	9605	30250
241	9645	30210
242	9726	30299
243	9810	30396
244	9837	30315
245	9860	30223
246	9884	30132
247	9907	30042
248	9955	30025
249	10008	30026
250	10043	29971
251	10070	29890
252	10092	29800
253	10117	29714
254	10172	29718
255	10261	29822
256	10298	29772
257	10323	29690
258	10351	29614
259	10375	29528
260	10416	29493
261	10471	29496
262	10542	29542
263	10571	29473
264	10596	29389
265	10620	29306
266	10663	29273
267	10761	29392
268	10799	29345
269	10823	29262
270	10845	29175
271	10870	29093
272	10893	29010
273	10918	28930
274	10941	28846
275	10967	28769
276	10991	28688
277	11015	28607
278	11037	28524
279	11060	28440
280	11100	28402
281	11187	28483
282	11223	28436
283	11245	28352
284	11271	28276
285	11295	28198
286	11319	28120
287	11342	28041
288	11366	27964
289	11396	27900
290	11419	27822
291	11448	27757
292	11479	27700
293	11538	27707
294	11607	27740
295	11680	27780
296	11717	27736
297	11748	27676
298	11770	27595
299	11795	27522
300	11818	27445
301	11843	27374
302	11868	27302
303	11907	27261
304	11997	27338
305	12029	27282
306	12051	27203
307	12072	27122
308	12095	27048
309	12131	27002
310	12211	27053
311	12240	26992
312	12263	26917
313	12285	26840
314	12309	26768
315	12334	26698
316	12357	26624
317	12379	26548
318	12404	26481
319	12459	26476
320	12525	26495
321	12561	26449
322	12588	26385
323	12615	26320
324	12642	26256
325	12668	26191
326	12694	26126
327	12720	26060
328	12744	25992
329	12769	25925
330	12798	25867
331	12823	25801
332	12849	25738
333	12878	25680
334	12905	25618
335	12930	25553
336	12960	25498
337	12987	25436
338	13013	25373
339	13038	25309
340	13063	25245
341	13090	25185
342	13119	25129
343	13144	25065
344	13169	25003
345	13197	24944
346	13223	24884
347	13251	24827
348	13280	24772
349	13308	24716
350	13333	24653
351	13361	24596
352	13387	24536
353	13412	24475
354	13437	24413
355	13461	24350
356	13485	24288
357	13512	24231
358	13534	24166
359	13563	24113
360	13589	24053
361	13615	23996
362	13642	23939
363	13665	23877
364	13693	23823
365	13718	23764
366	13745	23708
367	13770	23649
368	13801	23600
369	13827	23544
370	13856	23492
371	13880	23432
372	13903	23371
373	13940	23332
374	13966	23277
375	13993	23222
376	14016	23162
377	14041	23106
378	14089	23085
379	14179	23134
380	14218	23100
381	14241	23040
382	14265	22981
383	14304	22947
384	14348	22919
385	14371	22860
386	14396	22803
387	14419	22744
388	14468	22724
389	14533	22731
390	14628	22784
391	14664	22745
392	14687	22685
393	14710	22626
394	14739	22576
395	14813	22593
396	14869	22584
397	14893	22526
398	14916	22468
399	14945	22418
400	14968	22358
401	14991	22301
402	15037	22276
403	15117	22302
404	15156	22267
405	15180	22209
406	15204	22152
407	15226	22093
408	15249	22035
409	15281	21989
410	15309	21939
411	15350	21908
412	15414	21908
413	15458	21880
414	15486	21829
415	15509	21773
416	15543	21730
417	15626	21757
418	15691	21758
419	15715	21702
420	15741	21649
421	15836	21691
422	15867	21644
423	15890	21586
424	15914	21531
425	15937	21474
426	15960	21418
427	16019	21409
428	16101	21430
429	16130	21382
430	16154	21327
431	16176	21269
432	16200	21214
433	16226	21161
434	16292	21161
435	16366	21171
436	16412	21145
437	16435	21088
438	16458	21031
439	16480	20975
440	16507	20924
441	16585	20938
442	16632	20912
443	16659	20862
444	16684	20808
445	16708	20753
446	16731	20699
447	16756	20646
448	16790	20605
449	16832	20573
450	16943	20625
451	17005	20617
452	17031	20566
453	17056	20512
454	17079	20458
455	17103	20403
456	17128	20351
457	17154	20300
458	17179	20248
459	17221	20216
460	17304	20232
461	17337	20189
462	17363	20138
463	17386	20084
464	17412	20034
465	17436	19981
466	17462	19930
467	17487	19879
468	17525	19841
469	17603	19851
470	17656	19830
471	17685	19783
472	17707	19729
473	17731	19676
474	17755	19624
475	17780	19573
476	17803	19520
477	17829	19470
478	17855	19420
479	17890	19381
480	17985	19406
481	18021	19367
482	18042	19312
483	18065	19260
484	18100	19220
485	18153	19199
486	18180	19150
487	18203	19098
488	18227	19047
489	18262	19007
490	18297	18968
491	18330	18926
492	18352	18874
493	18377	18823
494	18406	18778
495	18468	18765
496	18546	18770
497	18577	18726
498	18603	18677
499	18626	18626
500	18649	18574
501	18684	18535
502	18753	18529
503	18847	18548
504	18872	18498
505	18894	18446
506	18922	18399
507	18946	18349
508	18972	18301
509	18999	18254
510	19027	18208
511	19051	18158
512	19073	18107
513	19098	18058
514	19122	18008
515	19145	17958
516	19182	17921
517	19225	17889
518	19312	17898
519	19348	17860
520	19375	17813
521	19398	17763
522	19420	17712
523	19443	17662
524	19466	17612
525	19496	17569
526	19540	17538
527	19628	17546
528	19687	17528
529	19712	17480
530	19740	17435
531	19763	17385
532	19786	17336
533	19809	17287
534	19832	17237
535	19858	17191
536	19918	17173
537	19950	17132
538	19974	17084
539	19998	17035
540	20034	16997
541	20128	17009
542	20171	16976
543	20197	16930
544	20218	16879
545	20242	16831
546	20266	16783
547	20289	16735
548	20311	16685
549	20338	16640
550	20413	16634
551	20459	16604
552	20488	16561
553	20514	16514
554	20536	16466
555	20560	16419
556	20584	16371
557	20608	16324
558	20634	16278
559	20657	16230
560	20679	16182
561	20704	16136
562	20743	16100
563	20840	16110
564	20895	16087
565	20919	16040
566	20945	15995
567	20967	15946
568	20988	15898
569	21015	15853
570	21084	15840
571	21171	15841
572	21203	15801
573	21234	15759
574	21261	15714
575	21312	15688
576	21342	15646
577	21369	15601
578	21395	15556
579	21422	15513
580	21449	15468
581	21477	15425
582	21512	15387
583	21546	15347
584	21578	15307
585	21613	15269
586	21644	15228
587	21697	15202
588	21730	15163
589	21755	15118
590	21783	15075
591	21806	15028
592	21830	14982
593	21866	14945
594	21924	14923
595	21952	14880
596	21976	14835
597	22001	14790
598	22030	14748
599	22111	14741
600	22143	14700
601	22167	14655
602	22190	14609
603	22224	14571
604	22264	14536
605	22313	14507
606	22337	14462
607	22363	14418
608	22387	14373
609	22411	14328
610	22435	14283
611	22477	14250
612	22524	14219
613	22596	14205
614	22627	14165
615	22657	14124
616	22689	14084
617	22713	14039
618	22742	13998
619	22765	13952
620	22791	13909
621	22814	13864
622	22840	13821
623	22866	13778
624	22892	13735
625	22915	13690
626	22940	13647
627	22963	13602
628	22993	13562
629	23042	13533
630	23114	13516
631	23144	13476
632	23171	13434
633	23195	13390
634	23221	13347
635	23245	13303
636	23268	13259
637	23291	13215
638	23313	13170
639	23336	13126
640	23360	13083
641	23384	13039
642	23405	12995
