iter	RMSE	R2
0	930.5822514	-1.094751981
1	908.1879033	-0.9951451898
2	887.8120792	-0.9066245406
3	868.1159192	-0.8229657953
4	847.4283097	-0.737116782
5	826.7367744	-0.6533225591
6	808.4211229	-0.5808781047
7	789.787554	-0.508841604
8	772.1737957	-0.4422920125
9	755.707297	-0.3814345416
10	740.1138876	-0.3250131438
11	724.060555	-0.2681565151
12	711.4685801	-0.2244316034
13	696.905838	-0.1748198742
14	682.3689777	-0.1263195655
15	667.7869323	-0.07869561163
16	654.2032032	-0.03525756318
17	641.0730498	0.005881583806
18	628.8204939	0.0435187649
19	615.3036927	0.0841968723
20	602.1566959	0.1229141199
21	591.2033226	0.1545327066
22	579.4467504	0.187824017
23	568.9565632	0.2169647688
24	558.7527413	0.2447992491
25	549.4291402	0.2697922156
26	540.7504672	0.2926784561
27	531.0858808	0.3177357884
28	522.4459023	0.3397540682
29	513.6563433	0.3617829666
30	505.0074688	0.3830944438
31	497.2671381	0.4018603405
32	489.3185677	0.420829449
33	481.5461092	0.4390826987
34	473.4968371	0.4576779729
35	465.8198658	0.475121128
36	458.8575599	0.4906939184
37	452.3570957	0.5050220032
38	445.6973588	0.5194891479
39	439.308582	0.5331660262
40	433.7678136	0.5448676283
41	428.5642083	0.5557219312
42	422.9267828	0.5673333142
43	417.781813	0.5777961979
44	412.3628348	0.5886778354
45	408.0713334	0.5971946282
46	403.4151846	0.6063343135
47	399.0186832	0.6148680562
48	394.4250326	0.6236845754
49	390.2273711	0.6316518137
50	385.7339716	0.640085903
51	381.9392526	0.6471324945
52	378.0769962	0.6542329639
53	374.1670188	0.6613476554
54	369.9750037	0.6688933937
55	366.1122262	0.6757712336
56	363.4834726	0.6804105631
57	360.3789644	0.6858464691
58	356.979507	0.6917453403
59	353.7486805	0.69729978
60	350.8297842	0.7022745282
61	347.7180494	0.707532543
62	345.0297974	0.7120372677
63	342.2925659	0.7165881445
64	340.3519667	0.7197925947
65	337.410476	0.7246150484
66	334.9726262	0.7285800814
67	332.5829298	0.7324388899
68	330.0778162	0.7364544096
69	327.9899772	0.7397778715
70	326.3872953	0.742314744
71	324.6982901	0.7449748083
72	322.7795609	0.7479799273
73	320.690634	0.75123136
74	318.671599	0.7543539423
75	316.7724787	0.7572730687
76	315.2807336	0.7595537854
77	313.601692	0.7621079801
78	311.869146	0.7647292691
79	310.1417773	0.7673282683
