iter	Passed	Remaining
0	64	64408
1	126	62948
2	155	51815
3	181	45176
4	204	40610
5	225	37411
6	248	35258
7	349	43361
8	396	43711
9	421	41717
10	445	40018
11	468	38595
12	483	36686
13	506	35684
14	529	34763
15	595	36638
16	686	39675
17	720	39300
18	746	38530
19	770	37732
20	795	37075
21	853	37944
22	902	38356
23	968	39390
24	1001	39049
25	1023	38344
26	1048	37772
27	1117	38793
28	1187	39757
29	1213	39237
30	1237	38672
31	1261	38175
32	1309	38369
33	1372	38985
34	1401	38632
35	1446	38723
36	1508	39260
37	1578	39970
38	1633	40249
39	1657	39781
40	1681	39328
41	1705	38892
42	1728	38465
43	1752	38082
44	1779	37756
45	1823	37814
46	1904	38617
47	1935	38382
48	1959	38032
49	1982	37669
50	2006	37339
51	2031	37042
52	2087	37293
53	2190	38374
54	2218	38117
55	2240	37775
56	2264	37468
57	2286	37139
58	2328	37145
59	2432	38110
60	2484	38248
61	2508	37952
62	2531	37647
63	2557	37399
64	2625	37768
65	2709	38339
66	2734	38084
67	2756	37784
68	2779	37500
69	2802	37235
70	2846	37240
71	2897	37344
72	2968	37689
73	3042	38072
74	3067	37831
75	3094	37625
76	3122	37424
77	3162	37383
78	3220	37548
79	3254	37432
80	3278	37196
81	3301	36962
82	3326	36746
83	3350	36531
84	3387	36467
85	3477	36960
86	3506	36794
87	3528	36567
88	3552	36360
89	3580	36200
90	3667	36631
91	3719	36709
92	3742	36501
93	3767	36308
94	3793	36139
95	3839	36159
96	3895	36263
97	3988	36713
98	4025	36637
99	4058	36522
100	4082	36335
101	4106	36149
102	4129	35960
103	4151	35766
104	4174	35585
105	4204	35462
106	4277	35701
107	4330	35764
108	4355	35600
109	4381	35447
110	4404	35275
111	4430	35128
112	4469	35080
113	4545	35326
114	4623	35584
115	4649	35434
116	4672	35262
117	4701	35139
118	4725	34982
119	4750	34835
120	4776	34698
121	4799	34542
122	4832	34453
123	4928	34817
124	4978	34851
125	5002	34699
126	5030	34579
127	5085	34642
128	5155	34810
129	5186	34711
130	5211	34573
131	5239	34452
132	5282	34434
133	5369	34700
134	5440	34856
135	5464	34715
136	5492	34598
137	5516	34455
138	5540	34316
139	5564	34179
140	5614	34206
141	5705	34475
142	5762	34532
143	5784	34384
