iter	Passed	Remaining
0	52	52431
1	141	70785
2	182	60750
3	217	54089
4	286	57064
5	317	52639
6	340	48350
7	365	45336
8	391	43059
9	416	41195
10	442	39786
11	466	38392
12	493	37482
13	507	35763
14	530	34817
15	557	34308
16	614	35506
17	646	35284
18	666	34414
19	691	33875
20	744	34715
21	819	36423
22	842	35787
23	866	35218
24	891	34756
25	918	34423
26	942	33980
27	968	33637
28	992	33228
29	1016	32866
30	1070	33469
31	1125	34056
32	1198	35134
33	1223	34771
34	1248	34412
35	1273	34099
36	1299	33817
37	1354	34285
38	1457	35922
39	1501	36043
40	1529	35766
41	1556	35503
42	1583	35240
43	1605	34892
44	1630	34594
45	1657	34376
46	1713	34745
47	1786	35439
48	1827	35477
49	1852	35204
50	1876	34909
51	1909	34819
52	1978	35356
53	2011	35243
54	2037	35015
55	2051	34590
56	2083	34462
57	2109	34269
58	2133	34024
59	2157	33794
60	2181	33574
61	2209	33427
62	2274	33822
63	2353	34426
64	2379	34227
65	2404	34025
66	2428	33823
67	2451	33603
68	2475	33400
69	2500	33215
70	2533	33145
71	2617	33738
72	2659	33777
73	2687	33630
74	2709	33418
75	2731	33206
76	2755	33031
77	2781	32879
78	2808	32737
79	2832	32574
80	2875	32619
81	2902	32492
82	2925	32323
83	2949	32163
84	2972	31996
85	3014	32032
86	3093	32466
87	3149	32635
88	3172	32477
89	3196	32325
90	3245	32420
91	3296	32531
92	3327	32450
93	3352	32310
94	3377	32172
95	3400	32025
96	3424	31878
97	3448	31742
98	3473	31615
99	3519	31671
100	3605	32091
101	3639	32040
102	3670	31963
103	3718	32037
104	3777	32202
105	3803	32078
106	3831	31974
107	3875	32006
108	3978	32524
109	4022	32547
110	4048	32421
111	4070	32276
112	4094	32138
113	4132	32118
114	4215	32440
115	4307	32829
116	4342	32771
117	4364	32625
118	4389	32496
119	4413	32363
120	4437	32234
121	4461	32107
122	4485	31985
123	4513	31884
124	4594	32159
125	4647	32238
126	4681	32181
127	4707	32068
128	4773	32233
129	4871	32602
