iter	RMSE	R2
0	934.527851	-1.081238522
1	912.5510139	-0.9845025532
2	891.6057594	-0.8944497424
3	871.9277792	-0.8117504867
4	852.1897666	-0.7306529519
5	832.1685374	-0.6502887611
6	814.1646219	-0.5796534195
7	796.1623821	-0.5105693399
8	777.512297	-0.440628131
9	762.1400375	-0.3842257123
10	744.6431478	-0.3213983282
11	729.1295311	-0.2669128312
12	713.1282489	-0.2119163337
13	700.1114927	-0.1680778047
14	686.6357873	-0.1235443704
15	672.5929628	-0.07805767607
16	658.3215638	-0.03279355693
17	644.8417551	0.009068439104
18	632.6625797	0.04614655237
19	619.5465684	0.08528611888
20	606.9024162	0.1222414043
21	594.9083247	0.1565925162
22	584.4069383	0.1861055541
23	574.317769	0.213965036
24	563.5829388	0.2430746807
25	553.1255885	0.2709037606
26	542.8718009	0.2976850321
27	533.0701271	0.3228169966
28	524.1459614	0.3453007464
29	515.1528607	0.3675741841
30	506.2492721	0.3892461946
31	498.1368275	0.4086635372
32	490.2560251	0.4272260769
33	482.1978057	0.4459004245
34	474.804541	0.4627615521
35	467.4257659	0.4793298807
36	460.4604345	0.4947317652
37	453.4196216	0.5100655497
38	446.9082353	0.5240360355
39	440.8087313	0.536939502
40	435.3146369	0.5484104351
41	429.6591241	0.560068119
42	424.4513053	0.5706681529
43	419.5259262	0.5805743678
44	413.9868077	0.5915768393
45	409.2413958	0.60088645
46	404.4189433	0.6102372435
47	399.836329	0.6190202777
48	395.9009682	0.6264829028
49	391.1810786	0.6353358772
50	386.9502963	0.6431812027
51	382.7085933	0.6509611365
52	378.8716328	0.6579248412
53	375.5887254	0.6638272926
54	372.2605413	0.6697587138
55	370.3471105	0.6731448898
56	367.1713641	0.678726456
57	363.7634468	0.6846626086
58	360.3516538	0.690550064
59	357.1763415	0.6959795993
60	354.1078528	0.7011808171
61	351.2867132	0.705923172
62	348.4688855	0.7106220932
63	345.4403519	0.7156301867
64	342.7989934	0.7199623438
65	340.2082229	0.7241792273
66	337.7436232	0.7281610562
67	336.0138232	0.7309384459
68	333.4284448	0.7350629772
69	331.0495394	0.7388299731
70	328.8652255	0.7422650799
71	326.575813	0.7458410595
72	324.7006819	0.748751337
73	322.757516	0.7517495257
74	320.7391084	0.7548447527
75	318.840531	0.7577384979
76	317.0406857	0.760465896
77	314.9702977	0.7635841661
78	313.1300173	0.7663387144
79	311.8037396	0.7683138904
80	309.9775684	0.77101982
81	308.5218074	0.7731655088
82	307.1347676	0.7752005105
83	305.8175879	0.7771245284
84	304.1796566	0.7795055368
85	302.9036638	0.781351546
86	301.3552394	0.7835812664
87	299.9841942	0.7855460234
88	298.6006545	0.7875196032
89	297.384128	0.7892474058
90	296.0583163	0.7911223909
91	294.9332432	0.7927069168
92	293.5975954	0.794580179
93	292.6783723	0.7958644608
94	291.7206858	0.7971981979
95	290.4652203	0.7989400202
96	289.4905958	0.8002870263
97	288.5564937	0.8015737786
98	287.4905588	0.8030370538
99	286.8018182	0.8039796507
100	285.778642	0.8053757758
101	284.8415258	0.8066500941
102	283.847466	0.8079972712
103	282.7758139	0.8094443281
104	281.9200948	0.8105958793
105	281.035302	0.8117828853
106	280.2130021	0.8128827078
107	279.5363922	0.8137852538
108	278.7702108	0.814804647
109	277.8151406	0.8160714364
110	277.2614838	0.816803807
111	276.4102509	0.817926958
112	275.7808097	0.8187552469
113	274.9469485	0.8198496268
