iter	RMSE	R2
409	145.368097	0.9494726082
410	145.3122558	0.9495114195
411	145.234651	0.9495653326
412	145.1964061	0.9495918912
413	145.1059456	0.9496546823
414	145.0025451	0.9497264075
415	144.8489685	0.9498328437
416	144.7377862	0.9499098281
417	144.7251727	0.9499185582
418	144.6812877	0.9499489259
419	144.4834108	0.9500857395
420	144.3640654	0.9501681652
421	144.0157084	0.950408368
422	143.9872732	0.9504279493
423	143.9321267	0.9504659138
424	143.8319243	0.9505348589
425	143.7677657	0.9505789785
426	143.601166	0.9506934514
427	143.4085093	0.950825663
428	143.2748715	0.9509172682
429	143.1823435	0.9509806438
430	143.0290051	0.9510855802
431	142.9501926	0.9511394715
432	142.9257184	0.9511562006
433	142.6554211	0.9513407702
434	142.5731898	0.9513968516
435	142.4939455	0.9514508652
436	142.3868066	0.9515238444
437	142.2129587	0.9516421466
438	142.1764422	0.9516669774
439	142.085056	0.9517290911
440	142.0509636	0.951752253
441	141.9094309	0.9518483485
442	141.8276831	0.9519038086
443	141.7201528	0.9519767117
444	141.5781629	0.9520728929
445	141.4464398	0.9521620333
446	141.4056379	0.9521896282
447	141.3380408	0.9522353275
448	141.2844798	0.9522715221
449	141.1749552	0.9523454923
450	141.1047211	0.9523928964
451	141.0551571	0.9524263352
452	140.9680795	0.9524850543
453	140.9363061	0.9525064711
454	140.8754513	0.9525474767
455	140.6363195	0.9527084384
456	140.4822143	0.9528120231
457	140.2503708	0.952967647
458	140.1646614	0.953025114
459	140.0203522	0.953121792
460	139.9673307	0.9531572879
461	139.8592469	0.9532296046
462	139.7262956	0.953318483
463	139.6139164	0.9533935429
464	139.4148432	0.9535263589
465	139.3892456	0.9535434231
466	139.2900433	0.9536095252
467	139.2653445	0.9536259756
468	139.1727567	0.9536876168
469	138.9981398	0.9538037581
470	138.9090336	0.9538629683
471	138.8017032	0.9539342378
472	138.7431786	0.9539730761
473	138.5936853	0.9540722091
474	138.5106147	0.9541272492
475	138.3776116	0.9542153044
476	138.3291537	0.9542473651
477	138.2019816	0.9543314513
478	137.9977576	0.9544663223
479	137.840676	0.9545699245
480	137.7443225	0.9546334154
481	137.6563127	0.9546913695
482	137.5536531	0.9547589237
483	137.4548061	0.9548239215
484	137.347695	0.9548943006
485	137.2498932	0.954958515
486	137.1672618	0.9550127332
487	137.0951883	0.9550599972
488	136.9536955	0.9551527124
489	136.8447429	0.9552240399
490	136.8045574	0.9552503337
491	136.697934	0.9553200609
492	136.6932852	0.9553230998
493	136.6176497	0.9553725276
494	136.5344438	0.9554268711
495	136.5195726	0.9554365803
496	136.4951247	0.9554525397
497	136.4631227	0.955473426
498	136.4270723	0.9554969486
499	136.3602794	0.9555405142
500	136.2729085	0.9555974695
501	136.2041095	0.9556422925
502	136.0018525	0.9557739331
503	135.9182971	0.9558282587
504	135.6519561	0.956001204
505	135.5756034	0.9560507202
506	135.5338692	0.9560777739
507	135.4506342	0.9561317049
508	135.4028199	0.9561626706
509	135.3161177	0.9562187932
510	135.2858574	0.9562383722
511	135.2539218	0.9562590306
512	135.211523	0.9562864498
513	135.098158	0.9563597202
514	135.0263108	0.956406125
515	134.9125044	0.9564795799
516	134.8760648	0.9565030863
517	134.8211741	0.956538483
518	134.7544751	0.9565814752
519	134.6649261	0.9566391622
520	134.6296105	0.9566619018
521	134.5667481	0.956702364
522	134.4737289	0.9567622022
523	134.3193283	0.9568614351
524	134.2301207	0.9569187166
525	134.2133522	0.9569294797
